"id","tableId","customerName","customerPhone","customerEmail","partySize","startTime","endTime","durationMinutes","status","priority","source","createdAt","updatedAt"
"res-1761421861427-38","table-8","Andrea Mendoza Torres","+54-11-1313-4545","andreamendozatorres@gmail.com","3","2025-10-22T17:30:00.000-03:00","2025-10-22T20:22:00.000-03:00","172","CANCELLED","LARGE_GROUP","app","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
"res-1761421861427-39","table-4","Álvaro Serrano Jiménez","+54-11-5555-6666","álvaroserranojiménez@live.com","4","2025-10-24T13:00:00.000-03:00","2025-10-24T14:34:00.000-03:00","94","CONFIRMED","LARGE_GROUP","app","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
"res-1761421861427-41","table-4","Elena Moreno Sánchez","+54-11-3333-4444","elenamorenosánchez@yahoo.com","4","2025-10-18T13:00:00.000-03:00","2025-10-18T16:05:00.000-03:00","185","SEATED","STANDARD","walkin","2025-10-19T00:00:00.000-03:00","2025-10-19T00:00:00.000-03:00"
"res-1761421861427-42","table-3","Nicolás Fuentes Herrera","+54-11-9012-3456","nicolásfuentesherrera@outlook.com","6","2025-10-22T11:00:00.000-03:00","2025-10-22T12:19:00.000-03:00","79","CONFIRMED","STANDARD","walkin","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
"res-1761421861427-43","table-6","Sofia Reyes Fuentes","+54-11-8901-2345","sofiareyesfuentes@live.com","4","2025-10-18T11:30:00.000-03:00","2025-10-18T13:10:00.000-03:00","100","FINISHED","STANDARD","phone","2025-10-19T00:00:00.000-03:00","2025-10-19T00:00:00.000-03:00"
"res-1761421861428-44","table-1","Valeria Silva Peña","+54-11-9999-0000","valeriasilvapeña@live.com","3","2025-10-21T11:00:00.000-03:00","2025-10-21T14:19:00.000-03:00","199","FINISHED","VIP","web","2025-10-22T00:00:00.000-03:00","2025-10-22T00:00:00.000-03:00"
"res-1761421861428-45","table-1","Rubén Herrera Molina","+54-11-1234-5678","rubénherreramolina@hotmail.com","2","2025-10-24T12:00:00.000-03:00","2025-10-24T14:04:00.000-03:00","124","SEATED","LARGE_GROUP","app","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
"res-1761421861428-46","table-2","Gabriel Rojas Molina","+54-11-5678-9012","gabrielrojasmolina@live.com","5","2025-10-18T16:30:00.000-03:00","2025-10-18T20:19:00.000-03:00","229","SEATED","STANDARD","phone","2025-10-19T00:00:00.000-03:00","2025-10-19T00:00:00.000-03:00"
"res-1761421861428-47","table-6","Andrea Mendoza Ortega","+54-11-6767-8989","andreamendozaortega@outlook.com","4","2025-10-20T11:00:00.000-03:00","2025-10-20T12:08:00.000-03:00","68","CANCELLED","LARGE_GROUP","walkin","2025-10-21T00:00:00.000-03:00","2025-10-21T00:00:00.000-03:00"
"res-1761421861428-49","table-1","Isabel Díaz Sánchez","+54-11-8901-2345","isabeldíazsánchez@live.com","2","2025-10-22T19:30:00.000-03:00","2025-10-22T20:53:00.000-03:00","83","CANCELLED","LARGE_GROUP","walkin","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
"res-1761421861428-50","table-2","Adrián Cabrera Pérez","+54-11-7890-1234","adriáncabrerapérez@live.com","7","2025-10-23T17:30:00.000-03:00","2025-10-23T20:56:00.000-03:00","206","FINISHED","STANDARD","web","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861428-51","table-2","Roberto Herrera Vega","+54-11-1212-3434","robertoherreravega@yahoo.com","6","2025-10-22T19:30:00.000-03:00","2025-10-22T21:30:00.000-03:00","120","CONFIRMED","LARGE_GROUP","web","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
"res-1761421861428-52","table-6","Lucía Morales Reyes","+54-11-0123-4567","lucíamoralesreyes@outlook.com","4","2025-10-24T15:30:00.000-03:00","2025-10-24T17:49:00.000-03:00","139","FINISHED","LARGE_GROUP","web","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
"res-1761421861428-55","table-5","Valeria Silva Rodríguez","+54-11-9999-0000","valeriasilvarodríguez@gmail.com","4","2025-10-21T17:00:00.000-03:00","2025-10-21T18:35:00.000-03:00","95","NO_SHOW","VIP","walkin","2025-10-22T00:00:00.000-03:00","2025-10-22T00:00:00.000-03:00"
"res-1761421861428-56","table-2","Francisco Martín Vargas","+54-11-9090-1212","franciscomartínvargas@hotmail.com","7","2025-10-22T14:00:00.000-03:00","2025-10-22T17:44:00.000-03:00","224","CONFIRMED","STANDARD","phone","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
"res-1761421861428-57","table-7","Gabriel Rojas Navarro","+54-11-6789-0123","gabrielrojasnavarro@gmail.com","6","2025-10-21T19:00:00.000-03:00","2025-10-21T20:17:00.000-03:00","77","CANCELLED","STANDARD","app","2025-10-22T00:00:00.000-03:00","2025-10-22T00:00:00.000-03:00"
"res-1761421861428-60","table-2","Carmen Pérez Castro","+54-11-2345-6789","carmenpérezcastro@hotmail.com","6","2025-10-21T21:30:00.000-03:00","2025-10-22T01:05:00.000-03:00","215","CONFIRMED","STANDARD","web","2025-10-22T00:00:00.000-03:00","2025-10-22T00:00:00.000-03:00"
"res-1761421861428-61","table-1","Mónica Flores Navarro","+54-11-1111-2222","mónicafloresnavarro@live.com","3","2025-10-23T19:00:00.000-03:00","2025-10-23T21:22:00.000-03:00","142","FINISHED","LARGE_GROUP","phone","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
